,mol_index,smile_list
60,[ 10   1 101 155],C/C(=C\[C@H](C(C)C)[NH](C)C(=O)[C@H](C)[C@@H](O)[C@@H]1CCC[NH]1C(=O)[C@@H]1[C@@H](C)CC[NH]1C(=O)C1=CC(Br)=C[NH2]1)C(O)=O
61,[198  37 100  66],CC[C@H](C)[C@H]([NH]C(=O)C(=O)C(N)CCCN=C(N)NC(=O)[C@H](CO)[NH2]C(=N)N)C(=O)C(=O)[NH][C@H](/C=C\C(O)=O)CO
62,[136  43 205  19],C[C@@H](O)[C@@H](C(O)=O)[NH](C)C(=O)[C@@H]([NH]C(=O)C[C@@H]([NH]C(=O)[C@]1(N)CCC[NH2]O1)c1ccc(O)cc1)[C@H](O)CC(=O)O
63,[ 95 160   3 128],CCCCC[C@@H]([NH]C(=O)[C@H](CO)[NH](C(=N)N)C(=O)/C=C/C/C=C(C)\C=C\N)[C@@H](C)C(=O)[NH]C[C@H](C)C(O)=O
64,[ 31 142 201  65],CC[C@@H](C)[C@@H](C(O)=O)[NH](C)C(=O)[C@@H](CC(C)C)[NH](C)C(=O)[C@H](CCSC)[NH]C(=O)C1=CCC[NH2]1
65,[125 206  22 133],C[C@@H](CC(=O)[NH]C[C@@H](O)C(=O)[NH][C@@H](CCc1ccccc1)C(O)=O)[C@@H](N)C(=O)NC(N)=NCCCC(N)C(=O)C(O)=O
66,[149  53 115  82],C/C=C/C[C@H]([NH]C(=O)[C@@H]([C@@H](C)CC)[NH](C)C(=O)c1cc(N)co1)C(=O)[NH][C@@H](CN)C(O)=O
67,[167 163  26 199],CC[C@H](C)[C@H](C(O)=O)[NH](C)C(=O)/C=C\[C@H](CC(C)C)[NH]C(=O)[C@H]1CCC[NH]1C(=O)c1cc(N)co1
68,[ 55  93 129  33],CC[C@@H]([NH]C(=O)[C@@H]1CCCN[NH2]1)[C@@H](C)C(=O)[NH]1CCC[C@H]1[C@H](O)[C@@H](C)C(=O)[NH]1CC[C@H](C)[C@H]1C(O)=O
69,[191 193 205  83],CC[C@@H](C)[C@@H](C(=O)[NH][C@@H](CCc1ccccc1)C(O)=O)[NH](C)C(=O)/C=C(/OC)[C@@H](CO)[NH]C(=O)C1=CCC[NH2]1
70,[147 196  90   9],CC[C@H](C)[C@@H](C(=O)[NH][C@@H](C)/C=C/C(=O)[NH][C@@H](CC(C)C)[C@@H](O)CC(O)=O)[NH](C)C(=O)[C@@H](N)CCCN=C(N)N
71,[179 173  18  73],C[NH2][C@H](C(=O)[NH][C@@H](C(=O)[NH][C@H](Cc1ccccc1)C(=O)N[C@]([NH2]C)(C(O)=O)C(C)C)[C@H](O)c1ccccc1)c1ccccc1
72,[ 50 190 192 201],C=CC(C)(C)OC[C@H]([NH]C(=O)[C@@H]1C[C@H](O)CN[NH]1C(=O)[C@](N)([NH2]C)C(C)C)C(=O)[NH](C)[C@H](C(O)=O)[C@@H](C)CC
73,[ 25 168 182 115],C[C@@H]1C[NH2][C@H](C(=O)[NH](C)[C@H](C(=O)[NH](C)[C@H](C(=O)[NH][C@@H](CCCN=C(N)N)C(O)=O)[C@H](C)CCO)[C@@H](C)O)C1
